AccusedMasterID,CaseMasterID,PersonMasterID,AccusedName,AgeYear,GenderID,PersonID,MO
177,100,412,Peter Vala,16,M,A4,Daylight chain/bag snatching
178,101,414,Nilima Shroff,31,F,A1,Daylight chain/bag snatching
179,101,413,Ati Chaudhary,34,F,A2,Forced window/door entry
180,101,415,Fitan Gill,54,M,A3,Daylight chain/bag snatching
181,102,416,Daksh Kapur,36,M,A1,OTP fraud
182,103,417,Sanaya Parmar,33,F,A1,Ambush attack at night
183,104,418,Mason Virk,19,M,A1,Blunt weapon assault
184,104,420,Mason Mitter,53,M,A2,Ambush attack at night
185,104,419,Gabriel Varughese,17,T,A3,Knife-related assault
186,104,421,Vivaan Palan,36,T,A4,Knife-related assault
187,105,422,Falak Dugar,57,F,A1,Unarmed physical assault
188,106,423,Maanav Bakshi,30,M,A1,Blunt weapon assault
189,107,424,Vrishti Dixit,37,F,A1,Unarmed physical assault
190,108,425,Hitesh Sehgal,33,M,A1,Forced window/door entry
191,109,428,Timothy Majumdar,28,T,A1,Family/relative-perpetrated
192,109,427,Ishwar Mane,52,M,A2,Workplace harassment
193,109,426,Ekani Grover,20,T,A3,Persistent online stalking before offence
194,109,429,Eshana Pingle,43,F,A4,Family/relative-perpetrated
195,110,430,Manya Bansal,23,T,A1,Knife-related assault
196,111,431,Aarna Date,29,F,A1,Shell company fraud
197,111,432,Abeer Pall,54,M,A2,Shell company fraud
198,112,433,Balhaar Deshpande,41,T,A1,Vehicle theft with duplicate key
199,113,434,Harshil Madan,39,M,A1,Forced window/door entry
200,114,435,Dayamai Sengupta,43,F,A1,Ambush attack at night
201,115,436,Dalaja Memon,60,T,A1,Family/relative-perpetrated
202,116,437,Faraj Gara,30,T,A1,Ponzi / fake investment scheme
203,117,28,Rushil Palla,54,T,A1,Unarmed physical assault
204,118,438,Anamika Mangal,22,F,A1,Fake KYC update call
205,119,439,Tripti Chakraborty,35,F,A1,Unarmed physical assault
206,119,442,Diya Parmer,37,F,A2,Unarmed physical assault
207,119,441,Unnati Vora,55,T,A3,Ambush attack at night
208,119,440,Lohit Shukla,49,M,A4,Blunt weapon assault
209,120,106,Pratyush Doctor,46,M,A1,Workplace harassment
210,121,443,Isaiah Kuruvilla,34,M,A1,Vehicle theft with duplicate key
211,122,445,Amaira Sant,29,F,A1,Fake KYC update call
212,122,444,Ganga Nagar,63,F,A2,OTP fraud
213,123,136,Hemal Dewan,21,F,A1,Loan-default cheating
214,124,447,Eta Dutt,25,F,A1,Lock-picking
215,124,446,Joshua Khare,48,M,A2,Lock-picking
216,125,186,Tanvi Kalla,36,T,A1,Forced window/door entry
217,125,448,Udarsh Chakrabarti,53,M,A2,Daylight chain/bag snatching
218,126,452,Ekta Oza,31,F,A1,Family/relative-perpetrated
219,126,450,Ati Parsa,25,F,A2,Family/relative-perpetrated
220,126,449,Neel Dada,61,T,A3,Family/relative-perpetrated
221,126,451,Samaksh Sawhney,48,M,A4,Persistent online stalking before offence
222,127,455,Aditya Mall,30,M,A1,Cheque bounce fraud
223,127,453,Upma Sarna,46,F,A2,Loan-default cheating
224,127,454,Mitali Aurora,28,F,A3,Ponzi / fake investment scheme
225,128,456,Warda Mannan,34,T,A1,Lock-picking
226,129,457,Rudra Rajagopal,35,M,A1,Loan-default cheating
227,130,458,Nitara Setty,32,T,A1,Cheque bounce fraud
228,130,459,Warjas Sani,22,M,A2,Cheque bounce fraud
229,130,460,Lajita Seth,42,F,A3,Ponzi / fake investment scheme
230,131,464,Kavya Sankar,50,F,A1,Social media impersonation
231,131,462,Zayyan Cheema,45,M,A2,Fake KYC update call
232,131,461,Reva Solanki,18,T,A3,Phishing link / fake link
233,131,463,Girish Ramesh,64,M,A4,Phishing link / fake link
234,132,465,Indali Karnik,52,F,A1,Vehicle theft with duplicate key
235,133,466,Luke Brahmbhatt,61,M,A1,Lock-picking
236,134,468,Chaitaly Raju,36,T,A1,Cheque bounce fraud
237,134,467,Amaira Borah,42,F,A2,Loan-default cheating
238,135,469,Xavier Comar,51,M,A1,Forced window/door entry
239,136,470,Yashoda Mishra,30,T,A1,Knife-related assault
240,137,471,Aachal Bajaj,57,F,A1,Ambush attack at night
241,138,472,Saanvi Mutti,24,T,A1,Shell company fraud
242,139,474,Bahadurjit Warrior,41,T,A1,Social media impersonation
243,139,473,Chandran Talwar,34,M,A2,OTP fraud
244,140,477,Pratyush Cheema,41,M,A1,Ambush attack at night
245,140,476,Pranit Ganesh,23,M,A2,Ambush attack at night
246,140,478,Bhavini Dara,61,T,A3,Ambush attack at night
247,140,475,Reva Kunda,20,F,A4,Knife-related assault
248,141,479,Oviya Bhattacharyya,26,F,A1,Vehicle theft with duplicate key
249,142,480,Hardik Sheth,34,T,A1,Daylight chain/bag snatching
250,143,481,Aadi Buch,26,T,A1,Vehicle theft with duplicate key
251,144,482,Ekiya Keer,18,T,A1,Workplace harassment
252,145,483,Ayushman Sekhon,38,M,A1,Lock-picking
253,146,484,Krishna Chauhan,23,F,A1,Fake KYC update call
254,147,485,Aashi Mand,56,F,A1,Social media impersonation
255,148,486,Noah Ravel,55,T,A1,Ambush attack at night
256,149,487,Gauri Bahri,43,F,A1,Ambush attack at night
257,150,489,Michael Parikh,60,T,A1,OTP fraud
258,150,488,Kevin Anne,25,T,A2,Fake KYC update call
259,150,490,Ishaan Nori,31,T,A3,OTP fraud
260,151,492,Varenya Jhaveri,18,F,A1,Persistent online stalking before offence
261,151,493,Chaitaly Dhar,39,T,A2,Workplace harassment
262,151,491,Nirja Nazareth,42,F,A3,Family/relative-perpetrated
263,152,494,Sneha Setty,19,F,A1,Vehicle theft with duplicate key
264,153,98,Zayan Lalla,54,M,A1,Persistent online stalking before offence
265,154,81,Ishaan Sarin,27,M,A1,Fake KYC update call
266,154,496,Tara Sagar,40,T,A2,Social media impersonation
267,154,495,Ishanvi Chacko,35,T,A3,Phishing link / fake link
268,154,170,Luke Mander,35,T,A4,Phishing link / fake link
269,155,497,Patrick Thaman,17,T,A1,Forced window/door entry
270,156,498,Vincent Naidu,21,T,A1,Fake KYC update call
271,156,499,Ojasvi Choudhry,16,T,A2,Fake KYC update call
272,156,500,Atharv Parekh,23,M,A3,Phishing link / fake link
273,157,106,Pratyush Doctor,46,M,A1,Workplace harassment
274,158,501,Samarth Varma,57,M,A1,OTP fraud
275,159,502,Harinakshi Raghavan,57,F,A1,Lock-picking
276,160,504,Inaya Pathak,35,T,A1,Unarmed physical assault
277,160,503,Zarna Khurana,30,T,A2,Knife-related assault
278,161,505,Ojas Kothari,33,M,A1,Lock-picking
279,161,506,Ira Issac,49,T,A2,Vehicle theft with duplicate key
280,162,508,Kritika Gandhi,59,F,A1,Shell company fraud
281,162,80,Gaurav Halder,32,M,A2,Cheque bounce fraud
282,162,509,Neelima Bumb,16,F,A3,Shell company fraud
283,162,507,Utkarsh Taneja,32,M,A4,Shell company fraud
284,163,510,Yauvani Guha,54,T,A1,Cheque bounce fraud
285,164,511,Theodore Barad,44,M,A1,Ambush attack at night
286,165,512,Edhitha Nair,52,F,A1,Lock-picking
287,166,513,Joshua Sankar,43,M,A1,Ponzi / fake investment scheme
288,166,514,Oviya Bawa,53,T,A2,Ponzi / fake investment scheme
289,166,515,Ikshita Wali,20,F,A3,Loan-default cheating
290,167,517,Deepa Ghosh,22,T,A1,Daylight chain/bag snatching
291,167,516,Ridhi Gara,58,T,A2,Daylight chain/bag snatching
292,168,519,Zayan Bal,59,M,A1,Daylight chain/bag snatching
293,168,520,Saanvi Kumar,25,F,A2,Daylight chain/bag snatching
294,168,518,Ayush Soman,51,T,A3,Vehicle theft with duplicate key
295,169,521,Sara Chatterjee,16,F,A1,Unarmed physical assault
296,170,524,Wakeeta Minhas,34,F,A1,Vehicle theft with duplicate key
297,170,523,Kashish Thakur,17,T,A2,Daylight chain/bag snatching
298,170,522,Anya Savant,26,F,A3,Daylight chain/bag snatching
299,171,525,Meghana Kale,61,F,A1,Loan-default cheating
300,172,527,Teerth Chand,56,T,A1,Family/relative-perpetrated
301,172,526,Anya Shenoy,18,T,A2,Persistent online stalking before offence
302,173,528,Harrison Karpe,63,T,A1,Persistent online stalking before offence
303,174,529,Henry Mahal,50,T,A1,Ambush attack at night
304,175,531,Aarini Bir,39,F,A1,Blunt weapon assault
305,175,530,Bimala Mahal,59,F,A2,Ambush attack at night
306,175,532,Sai Gandhi,49,M,A3,Ambush attack at night
307,175,533,Saumya Dar,41,F,A4,Blunt weapon assault
308,176,535,Arjun Parsa,17,M,A1,Daylight chain/bag snatching
309,176,536,Christopher Majumdar,58,T,A2,Vehicle theft with duplicate key
310,176,534,Qarin Karnik,51,M,A3,Vehicle theft with duplicate key
311,176,537,Liam Ramanathan,42,M,A4,Daylight chain/bag snatching
312,177,538,Yagnesh Varughese,51,M,A1,Family/relative-perpetrated
313,177,539,Samaksh Ravel,53,M,A2,Persistent online stalking before offence
314,178,540,Gagan Ramachandran,47,M,A1,Persistent online stalking before offence
315,179,541,Rudra Kapur,59,M,A1,Persistent online stalking before offence
316,180,542,Nidra Shere,36,T,A1,Phishing link / fake link
317,181,545,Gopal Dey,61,M,A1,Daylight chain/bag snatching
318,181,543,Irya Srinivas,53,F,A2,Forced window/door entry
319,181,544,Veer Vasa,37,M,A3,Daylight chain/bag snatching
320,182,546,Lucky Ranganathan,48,T,A1,Cheque bounce fraud
321,183,547,Abhimanyu Chowdhury,19,M,A1,Fake KYC update call
322,183,176,Samesh Parmar,41,M,A2,Fake KYC update call
323,183,202,Chanakya Talwar,46,M,A3,Social media impersonation
324,184,548,Yashodhara Aggarwal,42,F,A1,Phishing link / fake link
325,185,15,Ubika Madan,40,T,A1,Loan-default cheating
326,186,549,Aarush Dada,31,M,A1,Vehicle theft with duplicate key
327,186,550,Nitara Natt,18,T,A2,Forced window/door entry
328,187,551,Zansi Halder,36,F,A1,Loan-default cheating
329,187,553,Jason Basu,44,M,A2,Shell company fraud
330,187,552,Bahadurjit Om,60,M,A3,Loan-default cheating
331,188,555,Jagvi Patla,55,F,A1,Knife-related assault
332,188,554,Theodore Sheth,45,M,A2,Knife-related assault
333,189,556,Nitesh Narang,17,M,A1,Knife-related assault
334,190,558,Samaksh Bahri,32,T,A1,Unarmed physical assault
335,190,557,Alexander Subramaniam,42,T,A2,Unarmed physical assault
336,191,559,Ikshita Mammen,24,T,A1,Fake KYC update call
337,192,560,Anthony Khurana,53,M,A1,OTP fraud
338,193,563,Jagrati Rao,62,T,A1,Vehicle theft with duplicate key
339,193,561,Garima Dhaliwal,40,T,A2,Forced window/door entry
340,193,562,Nachiket Rajagopalan,23,T,A3,Daylight chain/bag snatching
341,193,564,Nidra Khare,30,F,A4,Vehicle theft with duplicate key
342,194,565,Neha Suri,38,T,A1,Blunt weapon assault
343,194,27,Ishani Sarma,53,F,A2,Ambush attack at night
344,195,212,Mekhala Chokshi,48,T,A1,Phishing link / fake link
345,196,566,Azaan Chawla,64,M,A1,Ambush attack at night
346,197,567,Farhan Merchant,39,T,A1,Lock-picking
347,197,568,Meera Vig,53,F,A2,Forced window/door entry
348,198,569,Garima Mahal,58,F,A1,Phishing link / fake link
349,199,570,Chaaya Deo,19,F,A1,Ambush attack at night
350,200,574,Atharv Rastogi,32,M,A1,Persistent online stalking before offence
351,200,571,Omisha Patla,57,F,A2,Family/relative-perpetrated
352,200,572,Qarin Rastogi,43,M,A3,Workplace harassment
353,200,573,Wridesh Sastry,47,T,A4,Family/relative-perpetrated
354,201,575,Tanveer Chaudhuri,16,M,A1,Forced window/door entry
355,202,577,Indira Kamdar,59,F,A1,Forced window/door entry
356,202,576,Tristan Sarma,17,M,A2,Lock-picking
357,203,578,Lavanya Parikh,36,F,A1,Lock-picking
358,203,579,Eta Shroff,48,T,A2,Lock-picking
359,204,582,Chaitanya Anne,35,M,A1,Vehicle theft with duplicate key
360,204,583,Raagini Sem,51,T,A2,Vehicle theft with duplicate key
361,204,580,Hema Bobal,25,T,A3,Lock-picking
362,204,581,Bina Sarin,48,T,A4,Lock-picking
363,205,585,Balvan Dash,29,M,A1,Family/relative-perpetrated
364,205,584,Qarin Sibal,18,M,A2,Persistent online stalking before offence
365,206,588,Mekhala Vig,40,F,A1,Unarmed physical assault
366,206,589,Ranveer Rama,21,M,A2,Unarmed physical assault
367,206,587,Dhruv Wali,21,T,A3,Unarmed physical assault
368,206,586,Henry Thaker,25,M,A4,Unarmed physical assault
369,207,590,Zaitra Venkataraman,38,F,A1,Shell company fraud
370,208,591,Eiravati Agrawal,36,T,A1,Vehicle theft with duplicate key
371,209,592,Vasana Zacharia,55,F,A1,Family/relative-perpetrated
372,210,594,Kiaan Pingle,50,M,A1,Unarmed physical assault
373,210,593,Naveen Sundaram,33,M,A2,Ambush attack at night
374,211,595,Siddharth Chaudhuri,22,T,A1,Lock-picking
375,212,596,Januja Sampath,35,T,A1,Persistent online stalking before offence
376,212,112,Raksha Srinivasan,47,F,A2,Persistent online stalking before offence
377,212,597,Tripti Dutt,19,F,A3,Family/relative-perpetrated
378,213,598,Falak Dhaliwal,22,F,A1,Forced window/door entry
379,214,599,Kevin Bir,48,M,A1,Vehicle theft with duplicate key
380,215,205,Diya Narayanan,30,F,A1,Daylight chain/bag snatching
381,216,601,Bhavna Gaba,33,F,A1,Family/relative-perpetrated
382,216,602,Nitara Tank,52,F,A2,Persistent online stalking before offence
383,216,600,Sudiksha Golla,21,F,A3,Persistent online stalking before offence
384,217,603,Damini Dhar,53,T,A1,Family/relative-perpetrated
385,217,605,Pranav Bains,35,M,A2,Persistent online stalking before offence
386,217,604,Eiravati Mangat,30,F,A3,Family/relative-perpetrated
387,218,606,Indrajit Mody,53,M,A1,Daylight chain/bag snatching
388,219,609,Edhitha Baral,42,F,A1,Vehicle theft with duplicate key
389,219,607,Tanvi Kala,34,F,A2,Lock-picking
390,219,608,Ekapad Raghavan,49,M,A3,Vehicle theft with duplicate key
391,220,610,Jack Kibe,44,T,A1,Loan-default cheating
392,220,611,Sachi Natarajan,17,T,A2,Shell company fraud
393,221,612,Kritika Anand,44,F,A1,Ambush attack at night
394,222,613,Dhriti Bajwa,28,F,A1,Shell company fraud
395,222,616,Nidra Bhakta,38,F,A2,Ponzi / fake investment scheme
396,222,615,Ria Dubey,25,T,A3,Cheque bounce fraud
397,222,614,Baljiwan Mukherjee,40,T,A4,Ponzi / fake investment scheme
398,223,617,Frado Khosla,19,M,A1,Knife-related assault
399,223,618,Krisha Gara,51,F,A2,Ambush attack at night
400,224,619,Bhavika Chowdhury,56,T,A1,Blunt weapon assault
401,224,620,Panini Chaudhari,17,F,A2,Blunt weapon assault
402,225,621,Ekantika Sen,30,F,A1,Unarmed physical assault
403,226,622,Wyatt Pillay,35,M,A1,Knife-related assault
404,227,623,Dayamai Kadakia,38,T,A1,Forced window/door entry
405,228,626,Tanvi Sankar,48,F,A1,Forced window/door entry
406,228,625,Teerth Date,60,M,A2,Forced window/door entry
407,228,624,Champak Purohit,43,M,A3,Forced window/door entry
408,229,35,Jason Ramesh,26,T,A1,Social media impersonation
409,230,627,Frado Konda,43,T,A1,Forced window/door entry
410,230,629,Ekanta Sehgal,63,F,A2,Vehicle theft with duplicate key
411,230,628,Timothy Warrior,50,M,A3,Forced window/door entry
412,231,90,Lohit Shukla,54,M,A1,Ambush attack at night
413,232,632,Peter Kala,24,T,A1,Lock-picking
414,232,630,Gaurangi Bhatnagar,41,F,A2,Vehicle theft with duplicate key
415,232,631,Alexander Bora,36,M,A3,Daylight chain/bag snatching
416,233,633,Warinder Maharaj,21,T,A1,Cheque bounce fraud
417,233,634,Maanav Ganesan,24,M,A2,Ponzi / fake investment scheme
418,233,635,Noah Bhat,24,T,A3,Shell company fraud
419,234,637,Gagan Toor,26,M,A1,Workplace harassment
420,234,636,Farhan Nagar,19,M,A2,Family/relative-perpetrated
421,235,638,Damini Gour,38,F,A1,Ambush attack at night
422,236,642,Kiaan Choudhary,36,M,A1,Daylight chain/bag snatching
423,236,639,Vasudha Bumb,58,F,A2,Lock-picking
424,236,640,Alka Mutti,43,F,A3,Vehicle theft with duplicate key
425,236,641,Amara Mander,29,T,A4,Forced window/door entry
426,237,643,Warjas Vasa,53,M,A1,Ambush attack at night
427,238,644,Tanvi Morar,47,T,A1,Ponzi / fake investment scheme
428,239,645,Vedant Choudhary,30,M,A1,Loan-default cheating
429,240,646,Indrajit Kannan,60,M,A1,Phishing link / fake link
430,241,647,Krisha Bhat,59,F,A1,Lock-picking
431,242,648,Tanveer Lal,49,T,A1,Workplace harassment
