PersonMasterID,PersonName,GenderID,HomeDistrictID,PrimaryCrimeHeadID,PrimaryMO,TotalCasesLinked,IsRepeatOffender
65,Ojasvi Nadig,F,3,1,Ambush attack at night,3,1
66,Yuvraj Mani,M,12,3,Family/relative-perpetrated,4,1
67,Anjali Lad,T,7,2,Vehicle theft with duplicate key,2,1
68,Sai Pau,M,3,5,Loan-default cheating,2,1
69,Krishna Mohan,F,10,2,Vehicle theft with duplicate key,2,1
70,Vrishti Zachariah,T,12,5,Cheque bounce fraud,2,1
71,Gautam Ravel,M,11,3,Persistent online stalking before offence,2,1
72,Kai Bhatt,M,4,3,Workplace harassment,3,1
73,Lajita Handa,F,10,4,Fake KYC update call,2,1
74,Balvan Mohanty,M,11,3,Persistent online stalking before offence,2,1
75,Yug Sahni,M,2,4,Social media impersonation,3,1
76,Sudiksha Modi,F,12,5,Loan-default cheating,2,1
77,Oviya Morar,T,13,1,Ambush attack at night,4,1
78,Abha Narayanan,F,14,4,Phishing link / fake link,2,1
79,Nimrat Mand,F,9,5,Ponzi / fake investment scheme,5,1
80,Gaurav Halder,M,12,5,Cheque bounce fraud,3,1
81,Ishaan Sarin,M,4,4,Fake KYC update call,3,1
82,Banjeet Barad,M,9,4,Social media impersonation,2,1
83,Tanmayi Aggarwal,T,2,3,Family/relative-perpetrated,2,1
84,Aahana Pai,F,15,4,Social media impersonation,2,1
85,Chakrika Baria,F,8,3,Family/relative-perpetrated,2,1
86,Bina Chaudhari,F,5,4,OTP fraud,2,1
87,Osha Chandra,F,6,5,Shell company fraud,4,1
88,Vasudha Verma,F,8,3,Persistent online stalking before offence,2,1
89,Upma Trivedi,F,10,3,Persistent online stalking before offence,2,1
90,Lohit Shukla,M,12,1,Ambush attack at night,2,1
91,Chakradhar Bose,T,15,4,Social media impersonation,2,1
92,Edhitha Deshpande,F,2,3,Workplace harassment,2,1
93,Harshil Chanda,M,5,1,Knife-related assault,2,1
94,Ranbir Varughese,M,10,2,Forced window/door entry,2,1
95,Max Date,M,6,4,Fake KYC update call,5,1
96,Lakshit Contractor,T,3,1,Knife-related assault,2,1
97,Yutika Gulati,F,9,1,Knife-related assault,5,1
98,Zayan Lalla,M,8,3,Persistent online stalking before offence,4,1
99,Divya Raj,T,15,3,Family/relative-perpetrated,2,1
100,Luke Peri,T,2,1,Knife-related assault,2,1
101,Edhitha Radhakrishnan,F,8,5,Cheque bounce fraud,2,1
102,Vinaya Borde,F,5,1,Unarmed physical assault,2,1
103,Udant Bumb,M,6,5,Cheque bounce fraud,2,1
104,Hema D’Alia,F,14,5,Cheque bounce fraud,2,1
105,Jagat Varghese,T,7,4,Phishing link / fake link,2,1
106,Pratyush Doctor,M,4,3,Workplace harassment,2,1
107,Barkha Borah,T,8,2,Forced window/door entry,2,1
108,Jonathan Shah,M,8,5,Ponzi / fake investment scheme,2,1
109,Lucky Chokshi,T,3,4,Phishing link / fake link,4,1
110,Ishita Parmar,F,5,2,Vehicle theft with duplicate key,2,1
111,Aryan Roy,M,2,5,Loan-default cheating,2,1
112,Raksha Srinivasan,F,1,3,Persistent online stalking before offence,2,1
113,Jeevika Kade,F,14,3,Workplace harassment,2,1
114,Onveer Walia,M,12,1,Unarmed physical assault,2,1
115,Nitara Doshi,T,5,5,Ponzi / fake investment scheme,4,1
116,Alexander Chahal,M,5,4,Social media impersonation,2,1
117,Joshua Dyal,M,1,5,Cheque bounce fraud,2,1
118,Chaaya Singhal,T,10,5,Loan-default cheating,5,1
119,Jack Sur,M,8,5,Cheque bounce fraud,2,1
120,Aarav Goel,M,13,2,Lock-picking,4,1
121,Simon Deep,T,10,3,Workplace harassment,3,1
122,Yochana Bhargava,F,8,3,Family/relative-perpetrated,2,1
123,Wishi Krishnan,F,1,1,Unarmed physical assault,2,1
124,Ishanvi Bandi,F,4,5,Loan-default cheating,5,1
125,Chaitanya Parsa,M,3,2,Vehicle theft with duplicate key,2,1
126,Bhanumati Varghese,F,15,3,Persistent online stalking before offence,5,1
127,Gaurang Natarajan,M,5,3,Persistent online stalking before offence,5,1
128,Kala Parmer,T,14,2,Lock-picking,3,1
129,Libni Krishnan,F,9,4,Fake KYC update call,2,1
130,Anusha Loke,F,14,1,Knife-related assault,3,1
131,Owen Mitter,T,10,3,Workplace harassment,2,1
132,Tara Vora,T,8,5,Shell company fraud,4,1
133,Daniel Ganesh,M,15,1,Unarmed physical assault,2,1
134,Qushi Mandal,F,8,1,Ambush attack at night,3,1
135,Jhalak Kuruvilla,F,4,4,Phishing link / fake link,2,1
136,Hemal Dewan,F,7,5,Loan-default cheating,2,1
137,Sachi Patel,T,13,4,Fake KYC update call,3,1
138,Ekapad Banerjee,M,4,5,Ponzi / fake investment scheme,2,1
139,Jhalak Lala,T,7,3,Workplace harassment,3,1
140,Ishanvi Shukla,T,2,3,Persistent online stalking before offence,3,1
141,Jatin Dugar,M,11,4,OTP fraud,2,1
142,Rachita Acharya,F,1,5,Cheque bounce fraud,4,1
143,Omkaar Johal,M,5,4,Fake KYC update call,2,1
144,Niharika Gandhi,F,14,3,Family/relative-perpetrated,2,1
145,Manan Dhar,M,1,5,Ponzi / fake investment scheme,2,1
146,Shivansh Gaba,M,9,3,Persistent online stalking before offence,2,1
147,Viraj Tara,M,13,3,Family/relative-perpetrated,2,1
148,Ojas Gaba,M,1,2,Daylight chain/bag snatching,2,1
149,Fariq Johal,T,13,5,Shell company fraud,2,1
150,Rajeshri Ratti,F,14,5,Ponzi / fake investment scheme,2,1
151,Sathvik Sarna,M,2,4,Phishing link / fake link,3,1
152,Rajata Bhavsar,T,2,5,Loan-default cheating,4,1
153,Mitali Hegde,T,1,1,Ambush attack at night,2,1
154,Jasmit Deol,F,7,4,Fake KYC update call,2,1
155,Ganga Pandit,F,13,1,Ambush attack at night,2,1
156,Kevin Ahluwalia,T,15,5,Cheque bounce fraud,2,1
157,Ikshita Kumer,F,13,3,Family/relative-perpetrated,3,1
158,Mohammed Mukherjee,M,8,4,Fake KYC update call,3,1
159,Naveen Chaudhari,T,9,1,Knife-related assault,3,1
160,Edhitha Mann,F,13,4,Social media impersonation,2,1
161,Atharv Bir,T,11,5,Shell company fraud,3,1
162,Wishi Doctor,T,12,2,Lock-picking,2,1
163,Ekanta Goda,F,8,5,Cheque bounce fraud,2,1
164,Tristan Aurora,T,10,5,Ponzi / fake investment scheme,4,1
165,Odika Chaudhary,F,5,4,Social media impersonation,2,1
166,Qarin Bhasin,M,11,5,Shell company fraud,2,1
167,Vyanjana Walia,F,13,2,Vehicle theft with duplicate key,3,1
168,Jason Loyal,M,14,4,OTP fraud,2,1
169,Balendra Nayak,M,5,2,Lock-picking,2,1
170,Luke Mander,T,4,4,Phishing link / fake link,2,1
171,Harini Kanda,F,12,3,Family/relative-perpetrated,2,1
172,Triya Mammen,T,4,3,Workplace harassment,3,1
173,Akshay Chand,M,1,4,Social media impersonation,2,1
174,Wyatt Dada,T,15,1,Ambush attack at night,2,1
175,Chavvi Barad,F,6,1,Knife-related assault,2,1
176,Samesh Parmar,M,6,4,Fake KYC update call,3,1
177,Chaitanya Rana,M,6,4,OTP fraud,3,1
178,Reva Dyal,F,9,5,Ponzi / fake investment scheme,2,1
179,William Sodhi,M,7,4,Phishing link / fake link,2,1
180,Raagini Chandran,F,2,4,Phishing link / fake link,2,1
181,Bhavani Shan,F,4,4,Phishing link / fake link,5,1
182,Sara Chatterjee,T,15,3,Workplace harassment,2,1
183,Krish Sathe,M,8,1,Blunt weapon assault,3,1
184,Rehaan Mane,T,6,2,Forced window/door entry,2,1
185,Mekhala Date,F,4,1,Blunt weapon assault,4,1
186,Tanvi Kalla,T,4,2,Forced window/door entry,2,1
187,Oeshi Dara,T,7,3,Persistent online stalking before offence,3,1
188,Vamakshi Sura,T,2,2,Lock-picking,2,1
189,Patrick Krishnamurthy,M,12,3,Persistent online stalking before offence,3,1
190,Ishani Kant,F,7,2,Daylight chain/bag snatching,2,1
191,Chasmum Loke,F,5,5,Cheque bounce fraud,2,1
192,Vincent Chandran,T,1,2,Daylight chain/bag snatching,2,1
193,Gayathri Iyer,T,3,2,Forced window/door entry,2,1
194,Warinder Andra,M,7,1,Ambush attack at night,5,1
195,Gauri Roy,F,12,1,Unarmed physical assault,2,1
196,Zayan Gour,M,15,1,Ambush attack at night,2,1
197,Kalpit Gupta,M,8,2,Vehicle theft with duplicate key,2,1
198,Vanya Babu,F,4,4,OTP fraud,2,1
199,Theodore Krishna,M,5,4,OTP fraud,2,1
200,Daksh Saran,M,11,3,Persistent online stalking before offence,4,1
201,Rachana Saini,T,13,5,Loan-default cheating,2,1
202,Chanakya Talwar,M,5,4,Social media impersonation,3,1
203,Pavani Agarwal,F,3,5,Loan-default cheating,2,1
204,Watika Kuruvilla,T,10,2,Vehicle theft with duplicate key,2,1
205,Diya Narayanan,F,3,2,Daylight chain/bag snatching,3,1
206,Tristan Konda,M,9,4,Fake KYC update call,4,1
207,Mason Sankar,T,2,4,OTP fraud,2,1
208,Oliver Jayaraman,T,15,4,Social media impersonation,2,1
209,Charan Singhal,T,10,3,Family/relative-perpetrated,2,1
210,Lekha Dass,T,13,2,Forced window/door entry,3,1
211,Sachi Lala,F,7,2,Forced window/door entry,4,1
212,Mekhala Chokshi,T,2,4,Phishing link / fake link,3,1
213,Eiravati Kuruvilla,F,2,5,Loan-default cheating,2,1
214,Jackson Lad,T,11,1,Ambush attack at night,3,1
215,Nitara Pandey,T,6,3,Workplace harassment,3,1
216,Elijah Dewan,M,1,1,Unarmed physical assault,2,1
217,Owen Samra,T,13,2,Forced window/door entry,3,1
218,Ishani Sha,T,7,5,Cheque bounce fraud,4,1
219,Samaksh Bala,M,7,5,Shell company fraud,5,1
220,Rachana Date,F,7,1,Ambush attack at night,3,1
221,Hemal Lal,T,5,2,Vehicle theft with duplicate key,2,1
222,Ucchal Balakrishnan,T,1,4,OTP fraud,2,1
223,Abhimanyu Kuruvilla,M,10,1,Unarmed physical assault,5,1
224,Maanas Korpal,T,7,2,Vehicle theft with duplicate key,3,1
225,Edhitha Grover,T,9,2,Vehicle theft with duplicate key,2,1
226,Bimala Oak,F,15,2,Vehicle theft with duplicate key,4,1
227,Chatresh Gill,M,15,2,Lock-picking,3,1
228,Anirudh Saini,M,14,3,Persistent online stalking before offence,2,1
229,Rachit Sanghvi,T,10,1,Blunt weapon assault,2,1
230,Zashil Borde,M,3,1,Unarmed physical assault,3,1
231,Jagat Srinivas,T,7,3,Family/relative-perpetrated,2,1
232,Brijesh Pau,T,11,1,Knife-related assault,2,1
233,Chakradev Lad,T,7,1,Blunt weapon assault,2,1
234,Aryan Bal,T,7,5,Shell company fraud,5,1
235,Hemang Chhabra,T,15,4,Fake KYC update call,2,1
236,Tejas Oak,M,1,5,Ponzi / fake investment scheme,2,1
237,Sudiksha Naik,F,9,2,Vehicle theft with duplicate key,5,1
238,Oeshi Sen,T,4,4,Phishing link / fake link,2,1
239,Vyanjana Raj,T,11,3,Persistent online stalking before offence,2,1
240,Ishanvi Mohan,F,13,4,Social media impersonation,2,1
241,Riya Sant,F,12,1,Knife-related assault,3,1
242,Dhruv Banerjee,M,4,3,Family/relative-perpetrated,4,1
243,Urmi Bains,T,10,4,Social media impersonation,2,1
244,Niharika Balay,T,4,3,Persistent online stalking before offence,2,1
245,Timothy Date,M,5,5,Shell company fraud,3,1
246,Frado Baria,T,7,5,Loan-default cheating,2,1
247,Yashodhara Pal,F,3,4,Social media impersonation,2,1
248,Harshil Batta,M,6,2,Forced window/door entry,3,1
249,Harish Kata,T,13,3,Family/relative-perpetrated,2,1
250,Nikita Yohannan,T,3,3,Workplace harassment,2,1
251,Osha Venkataraman,F,12,4,Fake KYC update call,1,0
252,Devika Mukherjee,F,10,4,Social media impersonation,1,0
253,Sathvik Raju,M,10,4,OTP fraud,1,0
254,Vasana Gera,T,10,2,Lock-picking,1,0
255,Rachit Hayer,M,1,2,Forced window/door entry,1,0
256,Dominic Bali,M,9,1,Knife-related assault,1,0
257,Reyansh Chander,M,9,1,Unarmed physical assault,1,0
258,Keya Chaudhry,T,4,2,Forced window/door entry,1,0
259,Vyanjana Raghavan,F,1,3,Workplace harassment,1,0
260,Kabir Sani,M,8,4,Phishing link / fake link,1,0
261,Agastya Loyal,T,8,4,Fake KYC update call,1,0
262,Zashil Gupta,M,9,2,Vehicle theft with duplicate key,1,0
263,Yadavi Bajwa,F,9,2,Vehicle theft with duplicate key,1,0
264,Chatresh Oza,M,9,2,Lock-picking,1,0
265,Zinal Bains,T,9,2,Daylight chain/bag snatching,1,0
266,Osha Nayak,F,10,3,Family/relative-perpetrated,1,0
267,Daniel Bhasin,T,10,3,Family/relative-perpetrated,1,0
268,Rishi Mody,T,7,2,Daylight chain/bag snatching,1,0
269,Ayushman Mistry,T,7,2,Forced window/door entry,1,0
270,Quincy Raja,M,7,2,Vehicle theft with duplicate key,1,0
271,Advay Kuruvilla,M,7,2,Forced window/door entry,1,0
272,Nakul Garg,M,10,5,Loan-default cheating,1,0
273,Ethan Master,M,10,5,Loan-default cheating,1,0
274,Qadim Walla,T,10,5,Shell company fraud,1,0
275,Ekapad Narang,M,10,5,Loan-default cheating,1,0
276,Rushil Som,M,10,2,Forced window/door entry,1,0
277,Samesh Mukhopadhyay,T,10,2,Forced window/door entry,1,0
278,Yachana Ramesh,T,13,3,Persistent online stalking before offence,1,0
279,Bina Krish,F,8,2,Vehicle theft with duplicate key,1,0
280,Neha Gandhi,F,4,4,Social media impersonation,1,0
281,Atharv Chand,M,4,4,Fake KYC update call,1,0
282,Zansi Seth,F,4,4,Social media impersonation,1,0
283,Amara Sastry,F,4,1,Blunt weapon assault,1,0
284,Radhika Char,T,7,2,Forced window/door entry,1,0
285,Arin Lal,M,3,4,OTP fraud,1,0
286,Lopa Mann,T,3,4,OTP fraud,1,0
287,Oeshi Anne,F,15,3,Persistent online stalking before offence,1,0
288,Ikbal Dutt,M,15,3,Workplace harassment,1,0
289,Yamini Sem,T,15,3,Family/relative-perpetrated,1,0
290,Farhan Shankar,T,15,3,Persistent online stalking before offence,1,0
291,David Dayal,M,8,2,Daylight chain/bag snatching,1,0
292,Manthan Kashyap,M,8,2,Lock-picking,1,0
293,Ansh Bava,M,8,2,Lock-picking,1,0
294,Bhavani Lata,F,8,2,Vehicle theft with duplicate key,1,0
295,Wriddhish Kale,M,10,4,Phishing link / fake link,1,0
296,Atharv Bhavsar,M,15,3,Family/relative-perpetrated,1,0
297,Kiaan Venkatesh,M,11,4,OTP fraud,1,0
298,Fitan Kuruvilla,M,11,4,Social media impersonation,1,0
299,Aradhana Borra,F,9,2,Lock-picking,1,0
300,Azaan Jhaveri,M,9,2,Forced window/door entry,1,0
301,Simon Nagarajan,T,9,2,Lock-picking,1,0
302,Matthew Chakraborty,M,9,2,Daylight chain/bag snatching,1,0
303,Chakradhar Srinivasan,T,8,1,Knife-related assault,1,0
304,Ishaan Char,T,8,1,Knife-related assault,1,0
305,Kai Venkatesh,T,8,1,Unarmed physical assault,1,0
306,Faris Sahni,M,8,1,Unarmed physical assault,1,0
307,Ekalinga Bhagat,M,11,4,Fake KYC update call,1,0
308,Ishanvi Dass,T,15,1,Unarmed physical assault,1,0
309,Ekansh Bal,M,15,1,Unarmed physical assault,1,0
310,Ekantika Singhal,F,15,1,Blunt weapon assault,1,0
311,William Lad,T,15,1,Ambush attack at night,1,0
312,Henry Mitra,M,4,1,Ambush attack at night,1,0
313,Nandini Uppal,F,4,1,Blunt weapon assault,1,0
314,Alka Pau,T,4,1,Ambush attack at night,1,0
315,Amara Dyal,F,12,3,Workplace harassment,1,0
316,Unni Biswas,T,12,3,Persistent online stalking before offence,1,0
317,Rudra Bal,M,7,4,Fake KYC update call,1,0
318,Arunima Puri,T,10,2,Vehicle theft with duplicate key,1,0
319,Bachittar Mital,M,6,5,Loan-default cheating,1,0
320,Pranit Prashad,M,6,4,Phishing link / fake link,1,0
321,Bachittar Nayak,M,6,4,Phishing link / fake link,1,0
322,Mekhala Agate,F,6,4,Phishing link / fake link,1,0
323,Girik Rastogi,M,13,4,Fake KYC update call,1,0
324,Oliver Baria,M,13,4,Phishing link / fake link,1,0
325,Ranveer Edwin,M,13,3,Persistent online stalking before offence,1,0
326,Laksh Padmanabhan,M,1,5,Ponzi / fake investment scheme,1,0
327,Qushi Kashyap,F,4,1,Knife-related assault,1,0
328,Frado Bhatti,M,10,2,Forced window/door entry,1,0
329,Faras Ramesh,T,4,4,Fake KYC update call,1,0
330,Rushil Ganesan,T,2,1,Blunt weapon assault,1,0
331,Brijesh Gill,M,13,4,OTP fraud,1,0
332,Saanvi Bhat,F,5,2,Vehicle theft with duplicate key,1,0
333,Radha Merchant,F,10,5,Cheque bounce fraud,1,0
334,Frado Arora,M,3,2,Lock-picking,1,0
335,Lipika Rai,F,3,2,Vehicle theft with duplicate key,1,0
336,Manbir Mohanty,M,10,3,Persistent online stalking before offence,1,0
337,Zinal Kumar,F,10,3,Persistent online stalking before offence,1,0
338,Abdul Srinivas,T,4,5,Cheque bounce fraud,1,0
339,Samar Batra,M,10,2,Daylight chain/bag snatching,1,0
340,Ayush Raju,M,10,2,Forced window/door entry,1,0
341,Rajeshri Samra,T,5,3,Family/relative-perpetrated,1,0
342,Noah Baria,T,15,2,Forced window/door entry,1,0
343,Sara Murty,F,1,3,Persistent online stalking before offence,1,0
344,Neelima Apte,T,6,1,Knife-related assault,1,0
345,Rajeshri Dyal,F,6,1,Ambush attack at night,1,0
346,Gautami Kar,T,9,1,Ambush attack at night,1,0
347,Saanvi Khosla,F,9,1,Knife-related assault,1,0
348,Janaki Acharya,T,4,2,Daylight chain/bag snatching,1,0
349,Robert Sanghvi,M,7,4,Social media impersonation,1,0
350,Riya Chand,F,7,4,Social media impersonation,1,0
351,Advik Chanda,M,5,5,Cheque bounce fraud,1,0
352,Bakhshi Dass,M,5,5,Loan-default cheating,1,0
353,Aayush Purohit,M,7,2,Forced window/door entry,1,0
354,Aahana Sunder,F,7,2,Forced window/door entry,1,0
355,Zayan Sood,M,7,2,Forced window/door entry,1,0
356,Zaid Panchal,M,7,2,Daylight chain/bag snatching,1,0
357,Indrajit Bajaj,M,14,5,Shell company fraud,1,0
358,Lakshmi Hari,F,13,3,Workplace harassment,1,0
359,Baghyawati Brar,T,13,4,Social media impersonation,1,0
360,Baljiwan Luthra,M,13,4,Fake KYC update call,1,0
361,Omya Raman,F,13,4,Phishing link / fake link,1,0
362,Henry Bava,T,11,2,Daylight chain/bag snatching,1,0
363,Maanas Mody,M,14,2,Lock-picking,1,0
364,Rishi Butala,M,5,2,Forced window/door entry,1,0
365,Lajita Lad,F,5,2,Lock-picking,1,0
366,Yashasvi Ghose,F,7,1,Blunt weapon assault,1,0
367,Nidra Bora,T,2,1,Blunt weapon assault,1,0
368,Frederick Setty,T,7,5,Ponzi / fake investment scheme,1,0
369,Anay Ahuja,M,7,5,Shell company fraud,1,0
370,Abha Rastogi,F,8,2,Lock-picking,1,0
371,Akshay Nath,T,3,2,Daylight chain/bag snatching,1,0
372,Arjun Goyal,M,9,5,Shell company fraud,1,0
373,Jeremiah Jayaraman,M,10,5,Shell company fraud,1,0
374,Gaurav Gupta,T,12,1,Unarmed physical assault,1,0
375,Girik Nori,M,11,3,Workplace harassment,1,0
376,Vasana Badami,F,12,1,Unarmed physical assault,1,0
377,Ishani Batra,T,12,3,Workplace harassment,1,0
378,Abeer Mohanty,T,1,2,Forced window/door entry,1,0
379,Deepa Swamy,T,7,2,Vehicle theft with duplicate key,1,0
380,Siya Muni,F,8,2,Vehicle theft with duplicate key,1,0
381,Yauvani Karan,F,8,2,Daylight chain/bag snatching,1,0
382,Chandresh Hayer,T,8,2,Forced window/door entry,1,0
383,Mahika Chander,T,4,4,Social media impersonation,1,0
384,Inaya Buch,T,4,4,Social media impersonation,1,0
385,Vedhika Nagarajan,T,4,4,OTP fraud,1,0
386,Adya Kaul,T,4,4,Phishing link / fake link,1,0
387,Samar De,M,3,3,Family/relative-perpetrated,1,0
388,Yoshita Goda,F,3,3,Family/relative-perpetrated,1,0
389,Faras Manda,M,3,5,Cheque bounce fraud,1,0
390,Ayaan Kapoor,T,3,5,Loan-default cheating,1,0
391,Isaac Deep,M,5,4,Fake KYC update call,1,0
392,Lipika Mital,T,9,2,Lock-picking,1,0
393,Krisha Kanda,F,9,2,Forced window/door entry,1,0
394,Nathaniel Natarajan,T,9,2,Vehicle theft with duplicate key,1,0
395,Anirudh Dalal,T,9,2,Forced window/door entry,1,0
396,Aarav Sheth,T,11,4,Social media impersonation,1,0
397,Siya Vala,T,8,4,Phishing link / fake link,1,0
398,Ridhi Borah,T,8,4,Phishing link / fake link,1,0
399,Darpan Seth,M,8,4,Phishing link / fake link,1,0
400,Xavier Borde,M,3,2,Daylight chain/bag snatching,1,0
401,Rishi Sani,M,3,2,Daylight chain/bag snatching,1,0
402,Advay Soman,M,13,2,Forced window/door entry,1,0
403,Chasmum Sachdev,T,8,3,Workplace harassment,1,0
404,Sai Iyengar,T,8,3,Workplace harassment,1,0
405,Krishna Sathe,T,6,2,Daylight chain/bag snatching,1,0
406,Triveni Lad,F,6,2,Forced window/door entry,1,0
407,Orinder Raja,T,6,2,Vehicle theft with duplicate key,1,0
408,Chanchal Kulkarni,T,6,2,Forced window/door entry,1,0
409,Pratyush Padmanabhan,T,8,4,Phishing link / fake link,1,0
410,Alka Memon,T,5,2,Lock-picking,1,0
411,Amol Dhingra,T,5,2,Vehicle theft with duplicate key,1,0
412,Peter Vala,M,5,2,Daylight chain/bag snatching,1,0
413,Ati Chaudhary,F,12,2,Forced window/door entry,1,0
414,Nilima Shroff,F,12,2,Daylight chain/bag snatching,1,0
415,Fitan Gill,M,12,2,Daylight chain/bag snatching,1,0
416,Daksh Kapur,M,15,4,OTP fraud,1,0
417,Sanaya Parmar,F,4,1,Ambush attack at night,1,0
418,Mason Virk,M,10,1,Blunt weapon assault,1,0
419,Gabriel Varughese,T,10,1,Knife-related assault,1,0
420,Mason Mitter,M,10,1,Ambush attack at night,1,0
421,Vivaan Palan,T,10,1,Knife-related assault,1,0
422,Falak Dugar,F,10,1,Unarmed physical assault,1,0
423,Maanav Bakshi,M,10,1,Blunt weapon assault,1,0
424,Vrishti Dixit,F,5,1,Unarmed physical assault,1,0
425,Hitesh Sehgal,M,5,2,Forced window/door entry,1,0
426,Ekani Grover,T,9,3,Persistent online stalking before offence,1,0
427,Ishwar Mane,M,9,3,Workplace harassment,1,0
428,Timothy Majumdar,T,9,3,Family/relative-perpetrated,1,0
429,Eshana Pingle,F,9,3,Family/relative-perpetrated,1,0
430,Manya Bansal,T,3,1,Knife-related assault,1,0
431,Aarna Date,F,5,5,Shell company fraud,1,0
432,Abeer Pall,M,5,5,Shell company fraud,1,0
433,Balhaar Deshpande,T,2,2,Vehicle theft with duplicate key,1,0
434,Harshil Madan,M,15,2,Forced window/door entry,1,0
435,Dayamai Sengupta,F,2,1,Ambush attack at night,1,0
436,Dalaja Memon,T,3,3,Family/relative-perpetrated,1,0
437,Faraj Gara,T,6,5,Ponzi / fake investment scheme,1,0
438,Anamika Mangal,F,14,4,Fake KYC update call,1,0
439,Tripti Chakraborty,F,8,1,Unarmed physical assault,1,0
440,Lohit Shukla,M,8,1,Blunt weapon assault,1,0
441,Unnati Vora,T,8,1,Ambush attack at night,1,0
442,Diya Parmer,F,8,1,Unarmed physical assault,1,0
443,Isaiah Kuruvilla,M,5,2,Vehicle theft with duplicate key,1,0
444,Ganga Nagar,F,5,4,OTP fraud,1,0
445,Amaira Sant,F,5,4,Fake KYC update call,1,0
446,Joshua Khare,M,7,2,Lock-picking,1,0
447,Eta Dutt,F,7,2,Lock-picking,1,0
