VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
166,266,Vanya Deol,62,3,0
167,267,Adweta Ganguly,85,3,0
168,269,Kiaan Naik,36,1,0
169,270,Kevin Barman,63,1,0
170,273,Simon Agrawal,46,3,0
171,275,Gopal Pillai,5,1,0
172,276,Bina Sidhu,33,1,0
173,279,Vansha Sharma,84,1,0
174,280,Rajata Yohannan,70,1,0
175,281,Gauri Anand,83,2,0
176,284,Yahvi Balay,84,2,0
177,285,Tanvi Choudhry,15,1,0
178,287,Nitesh Saraf,79,3,0
179,288,Sanaya Jha,82,1,0
180,290,Inaya Mistry,20,1,0
181,293,Ekansh Basu,28,1,0
182,293,Vasana Mukherjee,23,2,0
183,294,Aryan More,29,2,0
184,296,Chanchal Ramakrishnan,65,3,0
185,296,Ekaja Dhar,51,3,0
186,296,Ekiya Kuruvilla,13,3,0
187,297,Yatin Dass,75,3,0
188,298,Chakradev Edwin,68,2,0
189,298,Charita Chakraborty,35,2,0
190,299,Shivansh Sharaf,23,2,0
191,300,Ishita Ram,42,1,0
192,301,Janani Bansal,9,3,0
193,302,Zayyan Setty,3,3,0
194,303,Falan Krish,83,3,0
195,307,Pahal Padmanabhan,19,3,0
196,307,Sai Jaggi,57,3,0
197,310,Owen Nori,37,2,0
198,311,Rehaan Walia,35,3,0
199,315,Anvi Halder,7,2,0
200,316,Dhriti Guha,47,3,0
201,317,Mahika Raj,72,1,0
202,318,Dakshesh Pillay,44,3,0
203,318,Onveer Narain,4,2,0
204,318,Mahika Dugar,29,1,0
205,319,Saksham Amble,14,1,0
206,320,Leena Goswami,45,1,0
207,320,Maya Bassi,36,1,0
208,324,Ranveer Johal,48,2,0
209,325,Lipika Deol,44,1,0
210,327,Bhavya Bajwa,64,1,0
211,328,Oscar Jayaraman,34,3,0
212,329,Prisha Chacko,56,2,0
213,330,Megha Prakash,49,3,0
214,331,Janaki Bala,46,2,0
215,332,Noah Sane,73,2,0
216,337,Ekanta Badal,19,2,0
217,338,Joshua Tank,25,1,0
218,340,Dhruv Oza,18,3,0
219,340,Lakshmi Sarkar,65,3,0
220,343,Manya Mistry,31,1,0
221,344,Nihal Devan,27,2,0
222,344,Vasudha Manne,57,1,0
223,347,Radha Misra,41,2,0
224,348,Pranit Ahluwalia,83,3,0
225,349,Yashvi Kadakia,59,2,0
226,355,Niharika Munshi,82,3,0
227,355,Fariq Bose,25,1,0
228,357,Jeevika Deol,68,1,0
229,357,Charan Sami,54,1,0
230,357,Ladli Garde,64,1,0
231,358,Dakshesh Parekh,62,3,0
232,360,Yachana Ramachandran,21,1,0
233,361,Fitan Sanghvi,63,1,0
234,363,Yatin Nagarajan,67,1,0
235,364,Agastya De,3,3,0
236,365,Charvi Som,24,2,0
237,368,Bishakha Baral,61,2,0
238,371,Ekaraj Dhar,25,3,0
239,372,Frederick Jain,84,3,0
240,375,Prisha Mallick,59,2,0
241,376,Waida Walia,57,3,0
242,378,Hitesh Borah,53,2,0
243,379,Meghana Sampath,83,3,0
244,379,Aarna Thaker,8,3,1
245,380,Lajita Gala,27,3,0
246,381,Divya Chander,28,2,0
247,381,Abhiram Parikh,40,3,0
248,381,Mitali Tella,21,3,0
249,382,Tanveer Dhaliwal,16,3,0
250,383,Michael Tank,74,3,0
251,385,Kashvi Chacko,63,2,0
252,386,Udyati Chopra,48,3,0
253,387,Ekaja Balay,76,1,0
254,387,David Pathak,37,2,0
255,388,Rushil Palla,17,3,0
256,388,Vasatika Soman,82,3,0
257,389,Manbir Tata,36,3,0
258,390,Rayaan Atwal,65,2,0
259,394,Zansi Dutt,60,2,0
260,400,Pushti Iyengar,57,3,0
261,401,Kamya Prabhu,25,2,0
262,401,Dipta Das,81,3,0
263,402,Rudra Hegde,65,3,0
264,403,Ojasvi Mitra,69,1,0
265,404,Onkar Chakrabarti,29,1,0
266,405,Jason Vig,22,1,0
267,405,Vanya Suri,81,1,0
268,406,Harini Joshi,77,1,0
269,407,Amol Sharma,79,2,0
270,409,Warhi Jha,74,1,0
271,409,Samar Palan,33,3,0
272,411,Manan Chandra,82,1,0
273,413,Mahika Sahni,52,1,0
274,414,Bhavya Bhattacharyya,23,2,0
275,415,Ronith Sankaran,44,1,0
276,417,Gaurang Dey,42,1,0
277,418,Bina Subramaniam,48,3,0
278,424,Henry Ghosh,51,1,0
279,425,Umang Jaggi,54,3,0
280,427,Ekansh Dugar,9,2,0
281,430,Krishna Dass,76,2,0
282,431,Jonathan Sarna,12,1,0
283,433,Ansh Tara,64,1,0
284,434,Raagini Walia,60,3,0
285,437,Aradhana Murthy,7,2,0
286,438,Chaitanya Keer,22,1,0
287,438,Ikbal Brahmbhatt,54,1,0
288,438,Isaiah Vaidya,42,2,0
289,440,Lakshmi Brar,42,3,1
290,443,Yutika Wagle,30,1,0
291,444,Qadim Upadhyay,63,1,0
292,446,Lohit Char,51,2,0
293,447,Gabriel Devan,77,2,0
294,448,Eesha Gupta,2,1,0
295,448,Abhiram Korpal,48,3,0
296,449,Charita Kata,25,1,0
297,449,Vedhika Suri,45,2,0
298,451,Ansh Raghavan,22,2,0
299,452,Yachana Rao,19,2,0
300,454,Mekhala Kata,57,2,0
301,454,Kala Sood,14,3,0
302,454,Deepa Natarajan,11,1,0
303,455,Ekanta Shenoy,13,1,0
304,456,Jacob Saran,52,2,0
305,459,Vincent Kalita,50,1,0
306,462,Hemang Barad,77,3,0
307,463,Anay Natarajan,48,3,0
308,464,Aarush Mukhopadhyay,29,3,0
309,466,Shivansh Saraf,29,1,0
310,466,Bhavya Johal,23,1,0
311,467,Rachit Parmar,25,2,0
312,468,Yashica Chokshi,28,1,0
313,471,Jyoti Pathak,16,1,0
314,474,Geetika Kuruvilla,21,3,0
315,475,Yuvraj Gill,38,3,0
316,475,Girindra Date,18,2,0
317,476,Lavanya Vala,76,1,0
318,479,Shivansh Walia,29,2,0
319,482,Umang Raval,36,2,0
320,484,Triya Tella,1,1,0
321,485,Abha Yogi,66,1,0
322,486,Vasudha Kade,28,2,0
323,487,Bhavya Bal,39,2,0
324,488,Yashoda Varughese,33,3,0
325,490,Yash Kunda,54,1,0
326,492,Robert Shan,66,3,0
327,493,Yashodhara Singhal,81,3,0
328,493,Nihal Gola,16,1,0
329,493,Rachana Modi,36,1,1
330,494,Adya Sodhi,83,2,0
331,497,Bishakha Bains,25,3,0
332,498,Aadhya Bajaj,33,3,0
333,499,Ekalinga Borra,17,3,0
334,500,Max Narayanan,78,2,0
335,500,Qabil Nori,1,1,0
336,501,Darika Golla,6,2,0
337,506,Samar Mohan,78,1,0
338,506,Kashvi Lanka,3,2,0
339,507,Vamakshi Singh,18,1,0
340,509,Mekhala Naidu,63,1,0
341,509,Vasana Sule,29,1,0
342,510,Dev Pau,20,2,0
343,513,Daniel Roy,69,2,0
344,514,Max Jha,47,1,0
345,515,Anita Baria,18,1,0
346,516,Henry Mammen,11,1,0
347,517,Brijesh Chokshi,83,1,0
348,518,Rachana Bal,67,1,0
349,521,Irya Ranganathan,6,2,0
350,522,Advik Minhas,53,2,0
351,525,Raagini Deol,40,1,0
352,526,Devansh Wagle,61,2,1
353,528,Leena Mohan,20,1,0
354,528,Kavya Boase,49,2,0
355,529,Devika Manne,56,2,0
356,532,Gaurav Mohanty,55,1,0
357,535,Megha Barman,5,1,0
358,536,Sai Datta,65,2,0
359,537,Shivansh Nadkarni,77,3,0
360,538,Nimrat Vasa,84,1,0
361,540,Ansh Sankaran,65,1,0
362,542,Naksh Rajagopalan,67,2,0
363,543,Ansh Anand,2,2,0
364,551,Upasna Mani,78,1,0
365,554,Neha Sheth,10,3,0
366,556,Agastya Morar,6,3,0
367,556,Hamsini Mukhopadhyay,9,1,0
368,557,Veer Khalsa,48,1,0
369,558,Daniel Som,69,2,1
370,559,Yamini Mandal,75,1,0
371,560,Sudiksha Mane,29,2,0
372,560,Kabir Naidu,11,2,0
373,561,Kevin Taneja,68,3,0
374,567,Jagdish Mittal,31,3,0
375,570,Urmi Gade,43,2,0
376,570,Kamya Zachariah,77,3,0
377,571,Brijesh Oza,25,1,0
378,573,Wyatt Ravi,64,1,0
379,575,Balvan Sura,26,1,0
380,579,Arya Sarin,17,2,0
381,581,Yagnesh Srinivasan,1,3,0
382,582,Janaki Kar,52,2,0
383,584,Gavin Suri,19,2,0
384,585,Ekani Jayaraman,36,2,0
385,586,Ranbir Kumar,36,1,0
386,588,Gavin Madan,31,3,0
387,588,Jeet Chandran,50,1,0
388,590,Ira Ravel,12,1,0
389,591,Rajeshri Kumer,61,3,0
390,591,Veer Luthra,80,2,0
391,594,Eshana Garg,18,1,0
392,596,Jonathan Bansal,26,1,0
393,596,Ethan Pillai,3,2,0
394,598,Isha Vala,10,1,0
395,599,Zansi Dasgupta,64,1,0
396,601,Alka Subramanian,57,3,0
397,603,Udant Kanda,34,2,0
398,604,Mitesh Sachdeva,69,2,0
399,604,Azaan Nath,73,3,0
400,606,Onkar Raman,5,2,0
401,607,Nandini Sahota,30,1,0
402,607,Dayamai Narain,80,1,0
403,608,Urvashi Bandi,70,2,0
404,609,Abhimanyu Gala,19,2,0
405,611,Udant Sengupta,11,3,0
406,614,Jairaj Aggarwal,75,3,0
407,615,Ishani Chanda,2,2,0
408,616,Harini Ramachandran,52,1,0
409,620,Niharika Bajaj,41,3,0
410,622,Yug Bumb,48,1,0
411,622,Om Goyal,55,3,0
412,623,Zaid Dash,10,3,0
413,623,Aadhya Tank,43,3,0
414,625,Sachi Jaggi,28,3,0
415,625,Samuel Ramachandran,63,1,0
416,626,Peter Sandhu,63,2,0
417,629,Anita Iyengar,35,1,0
418,632,Gaurang Thakur,65,1,0
419,633,Rudra Deo,35,3,0
420,636,Chatresh Vasa,48,2,0
421,636,Vincent Date,83,1,0
422,637,Samesh Dey,53,2,0
423,638,Ekantika Gala,42,1,0
424,639,Matthew Gill,22,2,0
425,639,Yachana Basak,63,3,0
426,641,Jeremiah Bhattacharyya,2,2,0
427,643,Kalpit Pillay,85,3,0
428,644,Krishna Morar,78,3,0
429,644,Ati Mannan,79,3,0
430,645,Rishi Vora,18,1,0
431,647,Aishani Mander,47,1,0
432,649,Geetika Khanna,4,3,0
433,650,Elijah Nagi,54,1,0
434,651,Bina Baria,22,2,0
435,651,Wyatt Modi,47,3,0
436,654,Qasim Kapoor,25,3,0
437,655,Dayamai Kari,57,2,0
438,657,Gayathri Dara,28,2,0
439,657,Rehaan Loke,15,1,0
440,658,Gaurika Bal,54,1,0
441,660,Anirudh Chanda,74,2,0
442,663,Warjas Seth,32,2,0
443,665,Neha Dani,25,2,0
444,667,Baljiwan Narayanan,84,2,0
445,669,Leena Doctor,59,3,0
446,670,Balvan Balasubramanian,35,3,0
447,670,Oliver Mammen,54,2,0
448,675,Amol Lata,85,2,0
449,676,Abeer Magar,43,3,0
450,677,Ati Misra,74,3,0
451,678,Daksha Dani,54,2,1
452,681,Dev Date,13,1,0
453,685,Bimala Kota,61,3,0
454,686,Zilmil Kibe,6,3,0
455,687,Ikshita Kade,32,1,0
456,688,Idika Gaba,34,3,0
457,689,Mitali Bava,57,2,0
458,690,Henry Dayal,67,3,0
459,691,Sathvik Yadav,2,2,0
460,692,Mason Mangat,68,1,0
461,692,Kabir Badal,26,3,0
462,693,Lila Mohanty,32,1,0
463,694,Darsh Savant,39,3,0
464,696,Orinder Koshy,77,2,0
465,697,Zansi Chatterjee,63,1,0
466,698,Ryan Rattan,28,1,0
467,698,Ishaan Hegde,41,2,0
468,699,Sai Rau,84,2,0
469,699,Ria Kumar,35,2,0
470,699,Meera Sarkar,61,2,0
471,700,Sanya Sunder,53,1,0
472,700,Jeet Krishnan,59,1,0
473,702,Oeshi Raja,63,3,0
474,703,Noah Sankar,53,3,0
475,705,Lakshit Dyal,33,2,0
476,706,Ekaja Solanki,65,1,0
477,707,Ubika Ramanathan,84,3,1
478,707,Chandresh Loke,56,1,0
479,708,Oviya Mandal,38,3,0
480,709,Yachana Kari,74,2,0
481,709,Rajata Devan,27,1,0
482,710,Viraj Kala,30,2,0
483,712,Gunbir Magar,78,3,0
484,713,Harini Lal,46,1,0
485,714,Urvi Brar,6,2,0
486,716,Raagini Tank,52,2,0
487,717,Timothy Handa,22,3,0
488,719,Yahvi Krishnamurthy,19,1,0
489,722,Bhavika Sibal,80,2,0
490,722,Madhav Hegde,16,2,0
491,722,Isaac Dey,66,3,0
492,724,Falguni Hayer,51,1,0
493,726,Ekani Khosla,52,1,0
494,727,Viraj Bansal,19,1,0
495,728,Manya Dugar,20,3,0
496,731,Anmol Batra,54,2,0
497,732,Jhalak Hayer,76,1,0
498,733,Pushti Gole,47,1,0
499,734,Triya Patel,56,3,0
500,734,Yashvi Murthy,28,1,0
501,735,Shivani Bera,42,1,0
502,737,Wridesh Chana,44,2,0
503,739,Aahana Chadha,38,3,0
504,739,Falak Memon,42,1,1
505,740,Samaksh Mukhopadhyay,2,1,0
506,740,Tanay Bobal,79,1,0
507,741,Darpan Ravi,48,2,0
508,742,Ganga Natt,61,3,0
509,743,Harish Chacko,22,1,0
510,744,Krishna Gopal,18,2,1
511,746,Jagat Aggarwal,64,3,0
512,750,Yash Ahluwalia,65,1,0
513,750,Yashvi Kulkarni,4,2,0
514,751,Quincy Chahal,85,2,0
515,751,Pallavi Muni,58,2,0
516,752,Abeer Golla,76,3,0
517,753,Upma Ganesh,52,2,0
518,753,Lakshmi Varughese,63,1,0
519,754,Garima Mukhopadhyay,76,2,0
520,755,Zayyan Chakrabarti,66,1,0
521,756,Chandresh Malhotra,15,1,0
522,757,Niharika Kulkarni,74,3,0
523,757,Ronith Agate,40,3,0
524,759,Anya Bhavsar,51,2,0
525,759,Manya Gaba,37,2,0
526,760,Charita Bansal,24,2,0
527,761,Amaira Dora,6,2,0
528,762,Rachit Pau,43,1,0
529,763,Amara Pingle,80,1,0
530,765,Sanya Gopal,59,3,0
531,766,Dayamai Kala,6,1,0
532,766,Sneha Sachar,70,3,0
533,767,Yashasvi Sharma,68,1,0
534,768,Qushi Ratta,70,1,0
535,769,Veda Gokhale,73,2,0
536,771,Kashvi Pandey,40,1,0
537,772,Utkarsh Sampath,53,3,0
538,774,Aarna Rau,23,1,0
539,774,Sai Nair,51,2,0
540,775,Nidhi Bhandari,66,1,0
541,775,Qadim Nazareth,4,3,0
542,777,Amrita Bora,45,1,0
543,778,Mason Mohanty,32,1,0
544,784,Maya Palla,58,3,0
545,785,Shravya Mane,41,2,0
546,786,Sanaya Dayal,58,2,0
547,786,Oscar Contractor,50,3,0
548,789,Brinda Goswami,67,1,0
549,790,Michael Chakraborty,17,3,0
550,793,Nihal Deo,19,2,0
551,793,Charles Prakash,61,1,0
552,794,Ridhi Dube,77,1,0
553,799,Aarini Gopal,44,2,0
554,800,Matthew Mangal,30,2,0
555,802,Oscar Bose,1,2,0
556,803,Aadi Basak,33,3,0
557,803,Peter Thakkar,34,2,0
558,804,Qadim Badal,39,3,0
559,805,Mitesh Ray,27,2,0
560,808,Neha Goel,4,3,0
561,808,Suhani Cheema,23,2,0
562,811,Girindra Devi,30,2,0
563,811,Sara Jayaraman,7,3,0
564,811,Yashica Gaba,77,1,0
565,812,Aarush Shankar,19,2,0
566,814,Timothy Acharya,65,1,0
567,814,Benjamin Narayan,14,3,0
568,817,Champak Kashyap,10,3,0
569,818,Rajata Sridhar,63,1,1
570,820,Luke Sheth,31,2,0
571,822,Isaac Shenoy,21,2,0
572,824,Harrison Vala,73,3,0
573,825,Meghana Deshpande,46,2,0
574,826,Onkar Menon,24,3,0
575,827,Charan Gola,18,2,0
576,828,Falguni Wadhwa,19,3,0
577,829,Finn Korpal,4,2,0
578,832,Logan Sarraf,63,3,1
579,833,Shravya Koshy,43,1,0
580,834,Kritika Rout,27,2,0
581,836,Warhi Ratti,59,2,0
582,837,Hitesh Rajagopal,6,1,0
583,838,Akshay Krishnamurthy,29,1,0
584,841,Niharika Jayaraman,49,3,0
585,842,Raagini Chaudhary,10,1,0
586,843,Vamakshi Munshi,32,3,0
587,845,Warhi Choudhry,12,1,0
588,847,Keya Bajaj,13,1,0
589,850,Caleb Bedi,68,2,0
590,851,Aditya Ganguly,53,3,0
591,852,Sudiksha Khatri,32,2,0
592,856,Riya Divan,73,3,0
593,858,Omya Boase,62,2,0
594,858,Falak Pal,60,1,0
595,860,Widisha Sanghvi,33,2,0
596,861,Warjas Amble,11,2,0
597,862,Omya Ram,63,2,0
598,863,Janaki Aurora,2,3,0
599,865,Vivaan Mohanty,35,1,0
600,865,Geetika Mani,68,3,0
601,865,Dhruv Wable,37,3,0
602,867,Nihal Bhatia,20,3,0
603,868,Oeshi Bath,71,3,0
604,870,Ojasvi Cherian,33,1,0
605,872,Alexander Gara,76,3,0
606,874,Rudra Patla,5,3,0
607,875,Jyoti Bobal,70,3,0
608,876,Jason Nagarajan,70,1,0
609,877,Krisha Bath,27,2,0
610,878,Tarak Chaudhari,23,2,0
611,880,Charles Ray,45,3,0
612,880,Adya Varughese,56,2,0
613,880,Vivaan Goda,52,3,0
614,882,Pranit Bhasin,18,1,0
615,885,Odika Shanker,47,1,0
616,886,Inaya Nair,70,3,0
617,887,Ishani Jha,1,3,0
618,889,Yash Parmar,64,1,0
619,892,Dayamai Prabhu,15,1,0
620,893,Nandini Dave,19,3,0
621,894,Darsh Halder,27,2,0
622,895,Triya Dey,36,1,0
623,901,Tristan Raja,48,1,0
624,902,Kai Raman,81,3,0
625,904,Priya Boase,74,3,0
626,905,Hemani Sangha,16,1,0
627,906,Amaira Bhatnagar,69,1,0
628,909,Gaurika Baria,18,3,0
629,909,Lekha Bahri,69,1,0
630,910,Qadim Goswami,23,1,0
631,911,Mugdha Bajwa,44,2,0
632,912,Samesh Grover,13,2,0
633,919,Onveer Sodhi,9,1,0
634,920,Abeer Bumb,56,3,0
635,921,Januja Kothari,52,1,0
636,921,Qadim Lata,48,3,0
637,927,Jagat Badal,4,1,1
638,928,Azaan Sundaram,37,2,0
639,931,Qarin Memon,38,3,0
640,932,Ekbal Sinha,17,1,0
641,933,Aadhya Bansal,10,2,0
642,935,Mason Gokhale,31,2,0
643,936,Rajeshri Jhaveri,48,3,1
644,936,Warjas Oommen,9,3,0
645,937,Tristan Brar,85,2,0
646,939,Devansh Mann,53,1,0
647,940,Agastya Devi,30,3,0
648,940,Ethan Warrior,42,1,0
649,941,Meghana Khare,85,2,0
650,943,Rachit Ramanathan,33,1,0
651,944,Bhavika Manda,1,1,0
652,944,Forum Kar,56,3,0
653,945,Kamala Dixit,68,2,0
654,946,Avi Bobal,83,2,0
655,947,Eta Mohanty,53,2,0
656,948,Robert Naidu,69,3,0
657,950,Rachit Kuruvilla,74,3,1
658,952,Maya Mane,19,1,0
659,954,Warhi Madan,32,3,0
660,957,Harinakshi Kari,58,3,0
661,958,Neel Om,72,1,0
662,959,Unni Yadav,78,1,0
663,960,Omisha Chacko,58,2,0
664,961,Abdul Amble,24,3,0
665,961,Libni Viswanathan,58,3,0
666,962,Saksham Wadhwa,17,1,0
667,964,Janani Ramachandran,44,1,0
668,965,Rachana Agarwal,69,3,0
669,968,Neha Gopal,42,3,0
670,970,Christopher Mand,14,2,0
671,971,Nidhi Kade,3,1,0
672,971,Yauvani Savant,20,2,0
673,972,Avi Suresh,62,1,0
674,975,Charan Chaudry,6,1,0
675,977,Eiravati Srinivasan,79,3,0
676,977,Wishi Toor,80,3,1
677,978,Garima Pillay,47,1,0
678,979,Urishilla Kumar,26,1,0
679,981,Saksham Balakrishnan,72,2,0
680,982,Odika Saran,31,3,0
681,982,Aarav Dewan,7,2,0
682,983,Girindra Som,24,2,0
683,983,Ekbal Narang,73,3,0
684,984,Kabir Raghavan,84,2,0
685,985,Chanchal Bath,32,2,0
686,987,Ishita Chander,18,2,0
687,996,Viraj Nigam,42,3,1
688,997,Anika Kala,1,3,0
689,998,Udarsh Tella,42,3,0
690,998,Harrison Ramesh,40,2,0
691,1000,Samesh Halder,68,2,0
692,1001,Brinda Sharma,73,2,0
693,1003,Fiyaz Bakshi,53,3,0
694,1004,Aarna Thaker,4,3,0
695,1005,Jack Jani,47,2,0
696,1005,Guneet More,63,2,0
697,1006,Chandani Nadig,33,3,0
698,1008,Ekantika Gill,40,1,0
699,1012,Azad Agarwal,56,2,0
700,1012,George Barad,66,3,0
701,1014,Adweta Mani,11,3,0
702,1015,Akshay Nagar,39,2,0
703,1015,Ekantika Padmanabhan,16,1,0
704,1016,Tripti Khosla,12,2,0
705,1017,Charvi Sharaf,55,3,0
706,1018,Divya Shanker,55,3,0
707,1020,Chasmum Chahal,79,2,0
708,1022,Hardik Puri,62,2,0
709,1023,Teerth Deshpande,82,3,0
710,1025,Christopher Ray,41,2,0
711,1028,Rajeshri Padmanabhan,80,2,0
712,1029,Brinda Gour,24,3,0
713,1030,Pooja Dutta,53,1,1
714,1031,Omisha Tailor,75,3,0
715,1032,Ubika Devan,21,2,0
716,1033,Nachiket Bhalla,25,1,0
717,1034,Jonathan Rama,14,1,0
718,1037,Bhavika Kumer,74,1,0
719,1037,Darsh Manda,57,2,0
720,1040,Dominic Soni,7,2,0
721,1040,Ekani Bala,33,2,0
722,1041,Ganga Zacharia,63,3,0
723,1041,Pavani Sangha,11,3,0
724,1044,Bina Suresh,82,3,0
725,1045,Janya Saraf,34,2,0
726,1045,Mohini Rau,27,3,0
727,1045,Niharika Minhas,9,2,0
728,1047,Caleb Biswas,77,3,0
