EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
54,13,50,2,1,KGID100054,Hitesh,1984-10-22,1,7,0,2015-12-12
55,14,54,3,3,KGID100055,Yashica,1996-03-03,2,6,0,2020-07-15
56,2,8,2,3,KGID100056,Kashvi,1972-09-25,1,2,0,2019-08-31
57,6,23,4,1,KGID100057,Aadi,1973-01-11,2,4,0,2014-05-24
58,12,47,1,2,KGID100058,Vrinda,1978-07-25,2,7,0,2000-03-18
59,11,41,5,3,KGID100059,Janani,1971-05-05,1,5,0,2013-04-02
60,11,42,3,4,KGID100060,Dalbir,1975-09-06,2,3,0,2004-11-10
61,11,42,6,2,KGID100061,Farhan,1997-05-29,2,7,0,2019-02-14
62,1,4,3,2,KGID100062,Vedika,1992-06-08,2,6,0,2014-08-07
63,8,28,5,4,KGID100063,Jeremiah,2000-10-22,1,2,0,2022-11-19
64,11,41,1,2,KGID100064,Vaishnavi,1989-12-25,2,4,0,2020-04-27
65,3,10,1,2,KGID100065,Alka,1973-02-25,2,2,0,2012-02-03
66,15,58,6,4,KGID100066,Pallavi,1997-03-21,2,7,0,2026-05-29
67,11,39,1,4,KGID100067,Sai,1974-09-28,1,3,0,2019-12-26
68,12,47,1,2,KGID100068,Mohini,1978-02-20,1,8,0,2021-12-23
69,8,29,4,4,KGID100069,Kashvi,1989-08-24,2,3,0,2018-01-31
70,8,29,3,2,KGID100070,Zansi,1998-02-22,2,8,0,2022-12-20
71,5,19,1,3,KGID100071,Yug,1971-08-26,1,5,0,2000-04-12
72,15,57,2,2,KGID100072,Hamsini,1969-09-17,1,7,0,1992-02-16
73,12,45,1,4,KGID100073,Victor,1987-07-21,2,6,0,2016-01-11
74,7,25,2,4,KGID100074,Ekavir,1967-10-12,2,1,0,1992-10-08
75,13,52,4,1,KGID100075,Ekansh,1975-04-29,2,5,0,1997-05-18
76,14,55,5,2,KGID100076,Ganga,1996-10-13,2,4,0,2018-12-22
77,8,28,4,3,KGID100077,Wazir,1985-01-10,2,3,0,2015-06-27
78,15,58,5,1,KGID100078,Vedika,1990-04-18,2,1,0,2014-12-04
79,7,25,4,2,KGID100079,Kevin,1985-11-18,1,5,0,2026-04-18
80,4,16,3,3,KGID100080,Urvashi,1987-02-20,2,5,0,2016-05-22
81,14,55,3,1,KGID100081,Urvashi,1994-03-25,2,1,0,2022-02-20
82,1,4,2,1,KGID100082,Girindra,1974-01-05,1,1,0,1998-04-18
83,4,13,5,2,KGID100083,Raagini,1989-12-15,1,3,0,2016-12-19
84,2,7,4,3,KGID100084,Nirja,1981-12-12,2,3,0,2018-10-27
85,12,44,2,3,KGID100085,Chatura,1996-12-04,1,1,0,2019-08-02
86,10,37,4,2,KGID100086,Neha,1969-08-06,1,4,0,2013-09-02
87,13,51,6,1,KGID100087,Ikbal,1994-10-10,1,6,0,2019-12-28
88,11,41,1,3,KGID100088,Ranveer,1974-01-19,1,7,0,2013-04-13
89,2,8,3,4,KGID100089,Logan,1982-10-19,1,7,0,2018-02-19
90,9,33,5,4,KGID100090,Arya,1973-10-11,2,7,0,2010-07-03
91,10,37,3,2,KGID100091,Faqid,1976-01-13,1,5,0,2012-02-05
92,4,16,5,4,KGID100092,Guneet,1995-01-10,2,1,0,2016-11-14
93,6,22,4,2,KGID100093,Alexander,1989-09-21,2,5,0,2012-04-17
94,15,59,5,1,KGID100094,Warjas,1999-01-20,1,2,0,2021-06-14
95,7,26,5,2,KGID100095,Vedika,1981-05-12,2,8,0,2018-09-22
96,1,2,3,2,KGID100096,Nandini,1974-10-22,2,4,0,2026-07-01
97,10,37,4,3,KGID100097,Nitesh,1969-07-12,2,6,0,2016-04-20
98,8,29,3,3,KGID100098,Madhavi,1967-08-10,1,2,0,2006-08-21
99,6,22,6,2,KGID100099,Suhani,1999-01-22,1,4,0,2022-06-21
100,5,20,5,3,KGID100100,Vidhi,1981-12-04,1,4,0,2008-03-05
101,6,22,3,1,KGID100101,Chaman,1973-12-29,1,5,0,2002-05-21
102,1,4,6,2,KGID100102,Dalbir,2000-06-29,2,2,0,2026-05-28
103,10,37,4,4,KGID100103,Darsh,1992-07-26,2,6,0,2026-04-11
104,1,4,4,1,KGID100104,Dakshesh,1978-03-16,1,7,0,2000-11-23
105,10,36,2,2,KGID100105,Vansha,1987-05-30,2,2,1,2025-07-03
106,2,8,5,2,KGID100106,Nakul,1998-10-25,2,8,0,2020-04-13
107,5,20,4,3,KGID100107,Yashoda,2000-03-23,1,2,0,2021-11-21
108,4,14,3,1,KGID100108,Quincy,1996-07-02,1,4,0,2018-08-26
109,2,7,1,4,KGID100109,Ekansh,1987-10-12,2,8,0,2016-10-07
110,4,15,6,3,KGID100110,Jagdish,1981-04-09,2,2,0,2021-08-21
111,15,59,6,2,KGID100111,Balveer,1975-11-29,2,2,0,2017-12-20
112,11,40,3,2,KGID100112,Oni,1970-04-28,1,1,0,2012-11-01
113,5,20,6,3,KGID100113,Advika,1999-05-04,2,2,0,2022-01-22
114,5,20,4,3,KGID100114,Dipta,1990-04-28,2,8,0,2015-05-15
115,1,5,6,3,KGID100115,Meghana,1976-07-27,2,1,0,2002-01-03
116,11,39,6,3,KGID100116,Charita,1990-05-22,1,3,0,2019-02-25
117,11,42,3,2,KGID100117,Elijah,1978-04-17,2,8,0,1999-08-05
118,8,29,4,3,KGID100118,Harish,1983-02-16,2,2,0,2006-08-09
119,6,23,6,4,KGID100119,Tanay,1985-10-29,2,7,0,2024-01-09
120,9,31,4,1,KGID100120,Kevin,1976-07-22,2,5,0,2009-06-01
121,13,52,5,1,KGID100121,Ekapad,1997-07-03,2,7,0,2025-12-19
122,9,33,5,4,KGID100122,Kala,1975-11-05,2,1,0,2006-07-11
123,9,32,3,4,KGID100123,Raksha,1972-11-25,2,2,0,2022-04-03
124,11,40,6,2,KGID100124,Chasmum,1986-01-06,2,1,0,2024-12-30
125,2,7,1,4,KGID100125,Chandani,1967-10-20,1,3,0,1995-11-01
126,12,46,5,3,KGID100126,Krish,1999-06-25,2,8,1,2022-09-18
127,4,16,5,2,KGID100127,Hredhaan,1971-06-18,2,4,0,2003-01-09
128,9,32,1,3,KGID100128,Baghyawati,1976-10-19,2,6,0,2018-05-13
129,9,33,1,3,KGID100129,Hemal,1974-09-13,2,8,0,2002-08-12
130,8,29,3,3,KGID100130,Aishani,1990-12-04,2,8,0,2020-07-04
131,14,54,6,2,KGID100131,Zayan,1984-02-27,2,4,0,2006-11-14
132,7,25,3,4,KGID100132,Pallavi,1970-09-04,2,7,1,2010-06-27
133,13,50,4,1,KGID100133,Aarush,1969-01-12,1,6,0,2012-09-18
134,14,55,1,4,KGID100134,Kalpit,1993-10-09,1,3,0,2025-08-05
135,11,40,1,4,KGID100135,Adweta,2000-11-14,2,6,0,2023-03-26
136,7,25,3,4,KGID100136,Riya,1992-10-02,2,8,0,2023-02-15
137,1,2,2,3,KGID100137,Prisha,1991-07-18,1,2,0,2022-01-26
138,2,7,4,2,KGID100138,Isaac,1967-11-12,2,1,0,1993-12-20
139,13,49,3,3,KGID100139,Manthan,1999-09-09,2,7,0,2025-04-25
140,9,34,5,2,KGID100140,Kala,1968-10-04,1,3,0,1999-10-27
141,14,55,5,2,KGID100141,Joshua,1982-02-27,2,3,0,2004-07-25
142,11,41,4,3,KGID100142,Janya,1978-01-08,1,8,0,2026-02-03
143,11,40,1,4,KGID100143,Balveer,2000-08-12,2,5,0,2024-08-22
144,7,26,4,3,KGID100144,Zaid,1974-09-06,1,7,0,2018-05-11
145,2,7,4,3,KGID100145,Irya,1971-01-12,2,5,0,2019-09-02
146,14,55,3,1,KGID100146,Mohammed,2000-09-01,1,8,0,2023-09-01
147,15,59,2,3,KGID100147,Nicholas,1996-12-13,1,4,0,2020-12-12
148,11,40,6,1,KGID100148,Nitara,1997-07-10,1,5,0,2018-09-20
149,1,4,6,2,KGID100149,Gaurangi,1973-08-21,1,5,0,2021-03-30
150,7,25,2,2,KGID100150,Nisha,1999-03-16,2,5,0,2025-11-20
151,5,19,3,3,KGID100151,Yuvraj,1996-12-07,1,8,0,2022-06-16
152,3,10,6,4,KGID100152,Hritik,1972-12-13,2,2,0,2006-12-14
153,1,4,5,1,KGID100153,Balvan,1997-03-17,2,6,0,2025-06-30
154,11,41,5,4,KGID100154,Tristan,1983-07-20,2,2,0,2011-04-29
155,8,28,5,3,KGID100155,Triveni,1995-04-27,1,2,0,2022-04-02
156,8,29,6,4,KGID100156,Vedant,1977-12-01,1,3,0,2006-06-27
157,1,4,4,1,KGID100157,Reyansh,1968-05-04,1,4,0,2016-06-09
158,3,11,4,3,KGID100158,Arya,1978-09-14,2,3,0,2002-01-18
159,11,39,4,4,KGID100159,Arya,2000-06-07,2,1,0,2024-05-27
160,4,16,4,2,KGID100160,Yashodhara,1989-05-12,2,2,1,2017-02-22
161,6,23,1,4,KGID100161,Garima,1990-08-27,2,4,0,2012-02-09
162,14,55,1,2,KGID100162,Advika,1971-06-17,1,1,0,2004-08-05
163,4,14,5,2,KGID100163,Alka,1987-04-16,1,4,0,2009-07-29
164,14,54,3,2,KGID100164,Radha,1971-03-23,1,5,0,2015-09-25
165,3,10,5,3,KGID100165,Dipta,1992-04-28,1,2,0,2020-09-24
166,1,3,1,3,KGID100166,Yasti,1988-02-28,1,6,0,2013-01-29
167,5,18,2,4,KGID100167,Ranveer,1980-08-22,1,2,0,2010-04-17
168,13,51,5,1,KGID100168,Rajata,1969-01-16,2,4,0,1990-02-22
169,1,4,4,1,KGID100169,Ronith,1985-03-23,1,8,0,2018-08-08
170,7,25,4,4,KGID100170,Ekaraj,1982-03-17,1,2,0,2025-10-16
171,3,10,2,3,KGID100171,Ganga,1998-11-11,2,7,1,2025-02-23
172,9,33,4,4,KGID100172,Jeet,1978-03-20,1,2,0,2023-09-09
173,11,40,4,4,KGID100173,Charita,1998-02-27,1,7,0,2023-06-16
174,8,29,4,1,KGID100174,Nilima,1978-01-21,2,7,0,2010-02-20
175,5,19,2,4,KGID100175,Chakrika,1981-03-23,1,2,0,2021-01-26
176,2,8,1,3,KGID100176,Rehaan,1971-11-12,1,1,0,2007-02-26
177,9,33,6,1,KGID100177,Ladli,1990-02-27,2,6,0,2022-08-31
178,13,52,6,1,KGID100178,Owen,1992-12-27,2,5,0,2024-06-11
179,10,36,2,4,KGID100179,Charvi,1986-11-24,1,2,0,2021-09-12
180,9,33,1,3,KGID100180,Aadi,1986-03-06,1,7,0,2017-07-02
181,13,49,5,3,KGID100181,Shivansh,1977-04-18,1,3,0,2012-11-27
182,13,51,3,3,KGID100182,Ekanta,1994-04-09,1,3,0,2023-03-02
183,10,37,1,2,KGID100183,Riya,1982-07-26,1,2,0,2010-10-27
184,4,16,4,4,KGID100184,Urvashi,1984-12-04,2,3,0,2011-09-07
185,12,46,5,1,KGID100185,Frado,1989-12-13,1,3,0,2015-10-06
186,10,36,6,1,KGID100186,Gautami,1985-01-26,2,8,0,2009-03-26
187,8,29,4,3,KGID100187,Wahab,1995-05-20,1,2,0,2021-08-24
188,2,8,6,4,KGID100188,Rushil,1975-03-06,2,1,0,2001-03-05
189,10,36,1,2,KGID100189,Chakradhar,1968-05-13,2,4,0,2006-01-04
190,13,51,3,3,KGID100190,Vaishnavi,2001-01-04,1,1,0,2022-08-13
191,7,25,2,4,KGID100191,Oeshi,1983-01-11,1,6,0,2025-06-10
192,14,54,4,1,KGID100192,Robert,1987-02-14,2,2,0,2021-03-03
193,10,37,5,4,KGID100193,Mugdha,1984-05-09,2,5,0,2013-08-22
194,1,4,2,4,KGID100194,Abdul,1972-07-21,2,2,0,2023-11-29
195,2,7,4,4,KGID100195,Hredhaan,1993-01-31,1,7,0,2021-04-20
196,12,46,2,3,KGID100196,Patrick,1974-12-24,1,2,0,2023-04-29
197,2,7,3,3,KGID100197,Zarna,2000-02-17,1,4,0,2025-01-24
198,5,18,2,2,KGID100198,Zaid,1969-03-30,1,3,0,1998-06-27
199,11,42,4,4,KGID100199,Kiaan,1983-01-24,2,6,0,2019-11-10
200,2,8,4,3,KGID100200,Edhitha,1990-04-01,2,1,0,2024-01-30
201,2,8,4,4,KGID100201,Saanvi,1997-11-12,1,1,0,2024-01-23
202,5,18,6,1,KGID100202,Yamini,1995-04-07,2,8,0,2023-07-05
203,13,49,4,2,KGID100203,Sanaya,1995-10-17,2,8,0,2019-06-26
204,1,5,1,3,KGID100204,Vaishnavi,1992-11-01,1,3,0,2021-06-23
205,12,47,4,2,KGID100205,Yug,1976-05-09,2,6,0,2025-11-30
206,7,26,3,1,KGID100206,Aradhana,1989-03-25,2,2,0,2023-03-30
207,9,34,3,3,KGID100207,Vedhika,1993-12-29,1,6,0,2025-08-22
208,11,40,3,3,KGID100208,Anvi,1975-09-04,2,3,0,2011-08-17
209,2,8,5,4,KGID100209,Bhavika,1970-03-03,2,3,0,2007-02-10
210,14,54,6,4,KGID100210,Gautami,1976-10-11,2,1,0,2008-08-22
211,3,10,3,4,KGID100211,Faris,1997-12-02,1,4,1,2020-01-30
212,3,10,3,1,KGID100212,Vihaan,1972-08-31,1,6,0,2006-09-07
213,10,36,5,4,KGID100213,Michael,1991-02-23,1,3,0,2024-02-24
214,12,45,6,4,KGID100214,Devansh,1974-10-24,1,7,0,2009-11-29
215,12,45,4,3,KGID100215,Ganga,1981-05-27,2,4,0,2020-11-06
216,5,19,2,3,KGID100216,Ojasvi,1983-05-22,2,8,0,2006-06-28
217,13,52,5,4,KGID100217,Osha,1974-07-28,1,4,0,2008-10-22
218,3,11,1,4,KGID100218,Anmol,1998-04-27,2,2,0,2025-10-25
219,9,31,3,1,KGID100219,Lajita,1987-02-14,1,5,0,2024-05-02
220,9,32,4,1,KGID100220,Indira,1967-09-26,1,8,0,2009-01-15
221,15,57,4,1,KGID100221,Madhavi,1993-03-03,2,6,0,2021-04-13
222,2,8,2,1,KGID100222,Thomas,1985-11-05,2,2,0,2023-06-11
223,11,41,2,2,KGID100223,Anjali,1974-12-31,1,5,0,2010-10-24
224,8,28,6,4,KGID100224,Ayush,1984-01-22,2,1,0,2018-04-10
225,1,4,2,2,KGID100225,Nidhi,1978-12-21,2,2,0,2024-08-05
226,4,15,1,1,KGID100226,Unni,1973-02-24,1,7,0,2025-06-03
227,10,37,1,1,KGID100227,Avi,1971-11-17,2,1,0,2023-09-20
228,10,36,6,2,KGID100228,Avi,1980-12-09,2,7,0,2004-10-12
229,6,22,5,4,KGID100229,Priya,1989-05-27,1,2,0,2012-09-11
230,6,22,5,1,KGID100230,Triya,1997-01-10,2,8,0,2021-02-07
231,7,26,3,1,KGID100231,Abha,1969-03-30,2,2,0,2016-01-10
232,12,44,5,3,KGID100232,Siddharth,1978-09-03,1,1,0,2015-02-16
233,6,22,6,4,KGID100233,Geetika,1978-08-27,2,3,0,2025-07-16
234,2,8,1,3,KGID100234,Ladli,1997-06-18,1,1,0,2020-10-24
235,15,57,3,3,KGID100235,Oviya,1993-02-13,2,8,0,2018-05-25
236,13,50,3,3,KGID100236,Finn,1995-12-10,1,6,0,2024-12-04
237,13,51,4,4,KGID100237,Charles,1968-03-11,2,7,0,2012-12-28
238,3,11,6,4,KGID100238,Ekapad,1975-03-01,2,5,0,2022-09-23
239,12,47,1,4,KGID100239,Banjeet,2000-02-08,1,5,0,2021-05-09
240,2,8,6,3,KGID100240,Yug,1999-11-05,2,8,0,2022-07-11
241,7,25,6,4,KGID100241,Anmol,1996-02-02,2,8,0,2019-08-31
242,14,55,5,4,KGID100242,Jonathan,1975-08-26,2,1,0,2012-09-30
243,11,42,3,2,KGID100243,Ishwar,1990-04-24,1,3,0,2020-11-21
244,11,42,1,2,KGID100244,Tejas,1999-10-13,1,4,0,2024-09-20
245,6,23,4,1,KGID100245,Aahana,1991-05-02,1,8,0,2025-05-13
246,6,23,1,2,KGID100246,Oliver,1980-02-01,2,7,0,2021-09-07
247,5,18,1,1,KGID100247,Ishwar,1988-03-12,1,8,0,2014-10-02
248,15,57,3,3,KGID100248,Deepa,2000-05-11,2,4,1,2022-04-06
249,5,20,4,2,KGID100249,Atharv,1987-03-23,1,3,0,2018-10-27
250,8,28,6,4,KGID100250,Keya,1987-02-15,1,6,0,2021-08-09
